Shot #,Timecode,Selected Var,Score,VO Text,Timestamp
4,00:04.8 - 00:06.7,2,95.3,"Before your feet hit the floor,",2026-09-08T16:33:58.535919
5,00:06.7 - 00:08.4,2,49.9,you look at a glass rectangle,2026-09-08T16:34:31.899412
6,00:08.4 - 00:10.1,1,94.5,"to see who owns your morning,",2026-09-08T16:47:04.608581
7,00:10.1 - 00:11.6,3,94.9,"who owns your afternoon,",2026-09-08T16:47:40.271856
8,00:11.6 - 00:13.9,2,89.0,and how many minutes you get for lunch.,2026-09-08T16:48:17.240946
9,00:13.9 - 00:16.0,1,96.7,"You sprint through honking traffic,",2026-09-08T16:48:48.756223
10,00:16.0 - 00:17.9,2,99.3,"cram onto a packed subway train,",2026-09-08T16:49:25.376981
11,00:17.9 - 00:19.9,1,97.0,and trade ten hours of your life,2026-09-08T16:50:01.601289
12,00:19.9 - 00:21.9,2,97.5,answering messages from strangers.,2026-09-08T16:50:35.787162
13,00:21.9 - 00:23.7,1,39.3,"And tonight, before you sleep,",2026-09-08T16:51:12.288454
14,00:23.7 - 00:25.5,3,80.9,you will set that same machine,2026-09-08T16:51:46.039717
15,00:25.5 - 00:26.9,4,83.2,to scream at you again.,2026-09-08T16:52:19.775782
16,00:26.9 - 00:29.2,3,95.1,"Now, rewind forty-five thousand years.",2026-09-08T16:52:56.222904
17,00:29.2 - 00:31.1,1,90.5,A man wakes in the morning light.,2026-09-08T16:53:29.953492
18,00:31.1 - 00:33.1,2,83.1,No alarm. No schedule. No clock.,2026-09-08T16:54:03.768139
19,00:33.1 - 00:34.8,4,76.8,Nowhere he is required to be.,2026-09-08T16:54:37.665019
20,00:34.8 - 00:36.8,4,94.4,"He owns a flint spear, two hides,",2026-09-08T16:55:09.000258
21,00:36.8 - 00:38.3,2,97.1,and a small morning fire.,2026-09-08T16:55:42.858689
22,00:38.3 - 00:39.9,4,77.6,"He stretches his arms wide,",2026-09-08T16:56:16.862973
23,00:39.9 - 00:42.0,1,70.3,and asks a question you cannot ask:,2026-09-08T16:56:51.349619
24,00:42.0 - 00:43.6,4,91.5,What do I want to do today?,2026-09-08T16:57:28.092449
25,00:43.6 - 00:45.7,3,85.3,"Now, your modern brain fights this.",2026-09-08T16:58:01.913844
26,00:45.7 - 00:47.8,2,95.0,"You think: Sure, that sounds nice,",2026-09-08T19:17:30.845770
27,00:47.8 - 00:49.5,1,77.7,"but they died at twenty-five,",2026-09-08T19:17:58.219940
28,00:49.5 - 00:51.2,2,89.8,"froze in caves, and starved.",2026-09-08T19:18:27.675192
29,00:51.2 - 00:53.3,2,99.0,That is the story we tell ourselves.,2026-09-08T19:20:02.861735
30,00:53.3 - 00:55.7,2,91.4,The myth that history is a straight line,2026-09-08T19:20:48.319147
31,00:55.7 - 00:58.1,2,95.7,from ancient misery to modern paradise.,2026-09-08T19:21:29.812669
32,00:58.1 - 01:00.3,1,96.6,We tell ourselves forty hours of work,2026-09-08T19:29:55.680482
33,01:00.3 - 01:02.6,1,94.4,is the price of escaping ancient pain.,2026-09-08T19:34:24.575910
34,01:02.6 - 01:04.7,1,79.0,We assume ancient humans were beasts,2026-09-08T19:34:56.059793
35,01:04.7 - 01:06.5,2,78.7,with no time to sit in peace.,2026-09-08T19:35:37.604067
36,01:06.5 - 01:08.4,1,98.4,We think technology set us free.,2026-09-08T19:36:07.150721
37,01:08.4 - 01:10.6,1,94.6,We think progress bought us leisure.,2026-09-08T19:36:36.625533
38,01:10.6 - 01:12.7,2,96.9,And we wear exhaustion like a medal.,2026-09-08T19:37:16.111832
39,01:12.7 - 01:15.2,1,96.5,Because admitting the truth is terrifying:,2026-09-08T19:37:45.505338
40,01:15.2 - 01:17.6,2,99.5,a caveman may have been freer than you.,2026-09-08T19:38:27.009152
